Depth,Neutron_por
0,29.718856235379512
5,29.494579702248316
10,30.15909185788548
15,29.54591458867866
20,29.285786350828005
25,30.707983735294807
30,29.8339752774693
35,29.938231761235482
40,29.133184571190913
45,29.495724924756704
50,29.724996790357405
55,28.973149350369
60,29.591579368589237
65,28.933218138909016
70,28.891249377032914
75,28.512870946449198
80,29.489173570365327
85,28.278190316879947
90,27.450793770494798
95,28.058946737414708
100,26.679393047830988
105,27.011587276554614
110,25.521218088393237
115,25.409030687180966
120,25.723655991584614
125,25.528673214451718
130,24.763735830166365
135,24.125700329612965
140,23.52792484634483
145,22.42639401981519
150,22.287984540433783
155,21.897831288548655
160,22.137909795037444
165,21.26628406531227
170,19.704966299116435
175,20.250334993189938
180,19.410187312038218
185,18.79406049624218
190,18.986106747962953
195,18.763907518640995
200,18.30483395470349
205,17.035067409285034
210,16.94207108928533
215,16.932406747152914
220,16.954058974386868
225,15.956667076735263
230,15.864606865975478
235,15.197130788785705
240,14.97690461563637
245,15.837696898856585
250,15.997266981674997
255,15.201418256594613
260,15.687018920891381
265,15.342164776202768
270,14.841594231249168
275,15.37257113745763
280,16.011490285080463
285,15.295793513638225
290,16.185466286627793
295,14.198315995499634
300,16.03705384041163
305,15.797562093537792
310,15.73956124415481
315,16.074076119927714
320,15.174635878542492
325,16.196897323175172
330,16.618720411046983
335,17.304754117816827
340,16.421714715246686
345,16.37835456369967
350,16.617640388106384
355,17.39393410305762
360,17.147946825176454
365,16.743699462708246
370,17.266175469622592
375,17.03353528722868
380,17.418074321658178
385,16.503870204029166
390,16.58397930198164
395,16.416113807423912
400,15.716186189320736
405,16.40347155775578
410,16.165668941309242
415,15.790550819236177
420,15.397818860449659
425,14.510223925307063
430,14.687731101772126
435,14.386096909412334
440,13.797100294511916
445,13.742092296111014
450,13.635470676350513
455,13.976114758662401
460,12.711529881252087
465,12.3387497770306
470,11.755938379232623
475,10.417391734600086
480,10.950549297859814
485,10.58732436883965
490,11.391516634028845
495,9.678512566944846
500,9.555093573641969
505,9.03400155561443
510,8.133885123601956
515,8.978562795041185
520,8.496127567849829
525,8.254561166941173
530,7.170654317665933
535,8.121747629218685
540,6.544131547752558
545,7.393614598183002
550,8.081389704195265
555,6.4078429050783585
560,6.567711786435845
565,6.878765625505141
570,6.5848472504369875
575,6.0974148417732446
580,6.970381128975047
585,6.493905629344397
590,7.37458311902016
595,6.812514468173122
600,8.201074805873526
605,7.205349343124698
610,7.621186402907102
615,8.385840565013213
620,7.569281853609612
625,8.509908181054167
630,9.264061313797734
635,8.020903160330604
640,9.127965418166593
645,9.370488207229862
650,9.827366337388957
655,9.002110729218685
660,9.130051296555042
665,10.203997908392974
670,10.224990063883718
675,10.313807524204545
680,10.450532857924653
685,10.001060652720149
690,10.49457044870551
695,10.534817879784315
700,10.01255527631962
705,11.255113916419246
710,10.482416925516073
715,9.54393181153515
720,10.3330828944284
725,9.354452974274318
730,10.045004060185503
735,10.01430283853422
740,8.783545694464475
745,9.41151177934125
750,8.851158788392494
755,8.751920027758556
760,8.968949166454816
765,7.563597680870612
770,6.9639200308677
775,6.54208444580292
780,6.219437950438555
785,6.226694167361375
790,6.074108382871781
795,5.683538007568844
800,5.606777214362477
805,4.85691511664126
810,5.2464620518917
815,4.071401993327965
820,5.265165804977723
825,3.938974905397757
830,2.940534389234578
835,2.6005403860726073
840,3.1697543880593786
845,2.636482288923648
850,2.953313492989415
855,2.7103975755555054
860,2.3448697828915726
865,1.8958121468430982
870,1.5302102647550744
875,2.0630828110753696
880,2.743011818098879
885,2.479289187453832
890,1.8346684902451276
895,2.6559242179523452
900,2.8986635961969855
905,2.423754089314055
910,3.123136613770334
915,3.2745856235979875
920,2.8893407680766185
925,3.868566814174132
930,4.209650189014173
935,4.718238398598984
940,4.955997276088865
945,3.994587644533013
950,4.467777685710347
955,5.443431855417082
960,5.685046625826294
965,5.918065878780416
970,7.806681534131537
975,6.3702870121007935
980,6.839426307926056
985,6.915426814254575
990,6.908793957501
995,6.546160442970545
1000,7.178378859527896
