Depth (m),Neutron Porosity (%)
0,29.613587392731215
10,29.883558888217838
20,29.7492564275811
30,29.98780049740573
40,31.002887947634395
50,28.7359028992066
60,29.746860454603656
70,28.230738316334726
80,28.32706854521614
90,28.52412453345643
100,27.32195488236423
110,25.962180761368472
120,25.26757351902007
130,25.017850564038717
140,23.313293378280907
150,22.756135939422126
160,21.632134601879894
170,20.260686202994894
180,20.674700496909036
190,18.997228114701525
200,16.826622601816588
210,17.189904434595654
220,16.135393178441493
230,16.3836530217055
240,15.178747558460355
250,15.261778746656136
260,15.437746111435597
270,15.59703170563679
280,14.642323798319588
290,15.235893840800314
300,15.388629932643541
310,15.562400303100889
320,17.051147455983486
330,16.642654980771585
340,16.05040784721599
350,17.32744988342604
360,18.04464936885293
370,17.52577438334149
380,16.174066843414728
390,16.505693338847397
400,17.081399237980108
410,15.681306572409907
420,15.737022141210346
430,15.285370789869475
440,13.734773693333684
450,13.403682569912343
460,11.003607304801632
470,11.28096751644856
480,10.837522159887843
490,9.536003986803777
500,10.22052555444098
510,8.003153453431405
520,7.9001388081579496
530,7.690718333706349
540,7.965693723681756
550,6.268230815700557
560,7.432442527314711
570,6.841701608004881
580,6.445345316048058
590,7.3688386408342055
600,7.525637451151493
610,7.482108722430542
620,8.219615054321599
630,8.41783313822564
640,9.092407161526065
650,9.767520238760826
660,10.583288011169856
670,9.4575899778537
680,11.343825440504299
690,9.402399700363757
700,10.293838437815012
710,10.539659068302466
720,10.145302023979003
730,9.34011199840398
740,9.089825728461694
750,8.398267857594828
760,7.725870296655736
770,7.765589161556957
780,6.805850835903797
790,5.557077597833133
800,5.642985527561091
810,4.673344773751347
820,4.311512281102393
830,3.6839275884045253
840,2.51402067497675
850,2.3162227258448844
860,2.75493104178164
870,2.5928190098147392
880,2.3043616239550686
890,2.5162015712555124
900,3.3448373542267795
910,2.750488366379655
920,3.734374607576949
930,3.8281615996131086
940,4.3202556484578025
950,5.486078631661503
960,5.840861824864205
970,6.287070606804496
980,6.924382891412922
990,6.59360025266448
1000,7.139870734928745
