Depth (m),Neutron Porosity (%)
0,27.284544784612038
1,25.648769937914995
2,26.648794564576228
3,30.368819223261088
4,30.151152093729362
5,28.295788421097573
6,30.813840065378947
7,29.304873460781305
8,29.301405369644616
9,30.36294340734905
10,27.130079633013302
11,26.41262325123045
12,27.15656870613854
13,26.480753319498366
14,27.471370998892912
15,24.637963886718182
16,22.88154444799706
17,26.19847315338233
18,22.661335549270195
19,22.101292307031887
20,18.862877720679815
21,20.183425913212226
22,20.166383884564798
23,18.273509633866546
24,20.563547027518506
25,19.099041965121792
26,20.562459375310084
27,20.097440081655904
28,24.778417276763406
29,22.979754162893098
30,15.41343360656615
31,17.233817368154785
32,14.168734525043467
33,16.313295392507133
34,13.060494814180338
35,14.007720926652354
36,17.295291853803686
37,18.107699869993116
38,17.257052421784955
39,16.82652757641764
40,17.548344456616068
41,15.78221701444886
42,17.920233687407936
43,18.30904184356032
44,20.585683339328373
45,20.51542743435269
46,17.3554397669559
47,21.48612595409219
48,20.422376579375523
49,19.98461699954106
50,22.917514433261303
51,23.546499283743927
52,23.396920178674296
53,20.741173715166042
54,21.536181436223178
55,22.496895147105345
56,23.46331769068354
57,21.281238643232065
58,21.721511535004275
59,20.34049753899096
60,20.205690063878993
61,22.218788733591296
62,23.034360042856235
63,20.8919848176295
64,21.505299346838036
65,20.542454037571453
66,18.032320368092314
67,19.54209340826262
68,21.307054849698954
69,17.946260941335073
70,13.346965483721009
71,8.070382343865383
72,13.232853756562836
73,12.130570602357256
74,11.551488974301199
75,12.137641164803254
76,9.018646628098661
77,11.670492168243731
78,12.53566885726762
79,14.216841067112274
80,11.22259467258953
81,10.787259595660219
82,11.247364434623195
83,13.373103176553112
84,12.493126664489527
85,11.205359694349442
86,12.769901149670034
87,11.145616324022061
88,12.452967485799334
89,9.946920359183972
90,10.508506780103348
91,10.411837770301764
92,8.804727577801822
93,10.444180415596865
94,10.391582908269834
95,10.007670184963692
96,9.64811929993728
97,7.876943886924378
98,8.369032015851962
99,8.485928225209847
100,7.796584096167572
